timestamp,user_id,user_role,door_id,zone,event_type,event_name,success,is_anomaly,datetime
2936.338405604841,SEC002,security,D05_LAB,lab,1,ACCESS_DENIED,False,False,2025-01-01 00:48:56.338405605
8591.736334407422,SEC003,security,D06_PARKING,parking,1,ACCESS_DENIED,False,False,2025-01-01 02:23:11.736334407
8594.714376491704,SEC003,security,D06_PARKING,parking,7,FAILED_ATTEMPT,False,False,2025-01-01 02:23:14.714376492
9868.19185578232,SEC001,security,D08_CANTEEN,canteen,1,ACCESS_DENIED,False,False,2025-01-01 02:44:28.191855782
15718.590474791425,SEC002,security,D04_SERVER_ROOM,server_room,0,ACCESS_GRANTED,True,False,2025-01-01 04:21:58.590474791
15721.765172598658,SEC002,security,D04_SERVER_ROOM,server_room,9,DOOR_OPENED,True,False,2025-01-01 04:22:01.765172599
15737.192981868759,SEC002,security,D04_SERVER_ROOM,server_room,10,DOOR_CLOSED,True,False,2025-01-01 04:22:17.192981869
24438.409886918693,EMP029,employee,D08_CANTEEN,canteen,1,ACCESS_DENIED,False,False,2025-01-01 06:47:18.409886919
25900.568981511173,EMP012,employee,D08_CANTEEN,canteen,0,ACCESS_GRANTED,True,False,2025-01-01 07:11:40.568981511
25901.51390273515,EMP012,employee,D08_CANTEEN,canteen,9,DOOR_OPENED,True,False,2025-01-01 07:11:41.513902735
25909.56618773106,EMP012,employee,D08_CANTEEN,canteen,10,DOOR_CLOSED,True,False,2025-01-01 07:11:49.566187731
26647.013503315982,EMP032,employee,D03_OFFICE_B,office,0,ACCESS_GRANTED,True,False,2025-01-01 07:24:07.013503316
26647.822658071862,EMP032,employee,D03_OFFICE_B,office,9,DOOR_OPENED,True,False,2025-01-01 07:24:07.822658072
26654.916949203012,EMP032,employee,D03_OFFICE_B,office,10,DOOR_CLOSED,True,False,2025-01-01 07:24:14.916949203
27314.677137793544,EMP024,employee,D01_LOBBY,lobby,0,ACCESS_GRANTED,True,False,2025-01-01 07:35:14.677137794
27317.442235526894,EMP024,employee,D01_LOBBY,lobby,9,DOOR_OPENED,True,False,2025-01-01 07:35:17.442235527
27325.60339463362,EMP024,employee,D01_LOBBY,lobby,10,DOOR_CLOSED,True,False,2025-01-01 07:35:25.603394634
27845.437838413814,ADM003,admin,D03_OFFICE_B,office,0,ACCESS_GRANTED,True,False,2025-01-01 07:44:05.437838414
27846.879807897494,ADM003,admin,D03_OFFICE_B,office,9,DOOR_OPENED,True,False,2025-01-01 07:44:06.879807897
27858.38284108475,ADM003,admin,D03_OFFICE_B,office,10,DOOR_CLOSED,True,False,2025-01-01 07:44:18.382841085
28161.927872503526,EMP024,employee,D08_CANTEEN,canteen,0,ACCESS_GRANTED,True,False,2025-01-01 07:49:21.927872504
28164.892041763935,EMP024,employee,D08_CANTEEN,canteen,9,DOOR_OPENED,True,False,2025-01-01 07:49:24.892041764
28174.883135807653,EMP024,employee,D08_CANTEEN,canteen,10,DOOR_CLOSED,True,False,2025-01-01 07:49:34.883135808
28844.178503393305,EMP009,employee,D06_PARKING,parking,0,ACCESS_GRANTED,True,False,2025-01-01 08:00:44.178503393
28846.09027287602,EMP009,employee,D06_PARKING,parking,9,DOOR_OPENED,True,False,2025-01-01 08:00:46.090272876
28850.664976609016,EMP009,employee,D06_PARKING,parking,10,DOOR_CLOSED,True,False,2025-01-01 08:00:50.664976609
28987.2948625691,EMP029,employee,D03_OFFICE_B,office,0,ACCESS_GRANTED,True,False,2025-01-01 08:03:07.294862569
28991.255601253502,EMP029,employee,D03_OFFICE_B,office,9,DOOR_OPENED,True,False,2025-01-01 08:03:11.255601254
28999.969600453343,EMP029,employee,D03_OFFICE_B,office,10,DOOR_CLOSED,True,False,2025-01-01 08:03:19.969600453
29655.54820920056,EMP037,employee,D02_OFFICE_A,office,0,ACCESS_GRANTED,True,False,2025-01-01 08:14:15.548209201
29657.155518675445,EMP037,employee,D02_OFFICE_A,office,9,DOOR_OPENED,True,False,2025-01-01 08:14:17.155518675
29674.017136606464,EMP037,employee,D02_OFFICE_A,office,10,DOOR_CLOSED,True,False,2025-01-01 08:14:34.017136606
30415.812039228113,EMP007,employee,D06_PARKING,parking,0,ACCESS_GRANTED,True,False,2025-01-01 08:26:55.812039228
30416.618432987027,EMP007,employee,D06_PARKING,parking,9,DOOR_OPENED,True,False,2025-01-01 08:26:56.618432987
30422.411992405257,EMP007,employee,D06_PARKING,parking,10,DOOR_CLOSED,True,False,2025-01-01 08:27:02.411992405
30952.64389737275,ADM004,admin,D01_LOBBY,lobby,0,ACCESS_GRANTED,True,False,2025-01-01 08:35:52.643897373
30958.06391567887,ADM004,admin,D01_LOBBY,lobby,9,DOOR_OPENED,True,False,2025-01-01 08:35:58.063915679
30965.60322812991,ADM004,admin,D01_LOBBY,lobby,10,DOOR_CLOSED,True,False,2025-01-01 08:36:05.603228130
31240.219814268232,EMP021,employee,D02_OFFICE_A,office,0,ACCESS_GRANTED,True,False,2025-01-01 08:40:40.219814268
31241.61856245648,EMP021,employee,D02_OFFICE_A,office,9,DOOR_OPENED,True,False,2025-01-01 08:40:41.618562456
31253.941458341833,EMP021,employee,D02_OFFICE_A,office,10,DOOR_CLOSED,True,False,2025-01-01 08:40:53.941458342
31726.95535785517,EMP006,employee,D02_OFFICE_A,office,0,ACCESS_GRANTED,True,False,2025-01-01 08:48:46.955357855
31730.326031286088,EMP006,employee,D02_OFFICE_A,office,9,DOOR_OPENED,True,False,2025-01-01 08:48:50.326031286
31738.273409606227,EMP006,employee,D02_OFFICE_A,office,10,DOOR_CLOSED,True,False,2025-01-01 08:48:58.273409606
31780.529372939778,EMP013,employee,D08_CANTEEN,canteen,0,ACCESS_GRANTED,True,False,2025-01-01 08:49:40.529372940
31784.818585074307,EMP013,employee,D08_CANTEEN,canteen,9,DOOR_OPENED,True,False,2025-01-01 08:49:44.818585074
31791.197750709416,EMP013,employee,D08_CANTEEN,canteen,10,DOOR_CLOSED,True,False,2025-01-01 08:49:51.197750709
32380.462135159407,EMP002,employee,D06_PARKING,parking,0,ACCESS_GRANTED,True,False,2025-01-01 08:59:40.462135159
32384.353775889173,EMP002,employee,D06_PARKING,parking,9,DOOR_OPENED,True,False,2025-01-01 08:59:44.353775889
32400.92675600541,EMP002,employee,D06_PARKING,parking,10,DOOR_CLOSED,True,False,2025-01-01 09:00:00.926756005
32484.098836654608,ADM002,admin,D04_SERVER_ROOM,server_room,2,DOOR_FORCED,False,True,2025-01-01 09:01:24.098836655
32536.71277680239,ADM002,admin,D04_SERVER_ROOM,server_room,8,SYSTEM_ALARM,False,True,2025-01-01 09:02:16.712776802
33739.991827709106,CON006,contractor,D05_LAB,lab,1,ACCESS_DENIED,False,False,2025-01-01 09:22:19.991827709
34028.34620296089,EMP008,employee,D04_SERVER_ROOM,server_room,0,ACCESS_GRANTED,True,False,2025-01-01 09:27:08.346202961
